,工作名称,公司名称,公司规模,公司性质,月薪,工作经验,招聘人数,最低学历,工作性质,五险一金,带薪休假,员工旅游,周末双休,弹性工作,餐补,交通补助,年底双薪,股票期权
17,IDC网络资源客户经理,北京华夏雅库网络科技股份有限公司 ,20-99人,股份制企业,10000.0,不限,12,大专,全职,True,False,False,False,True,False,True,False,False
18,销售经理,北京易咖科技有限公司 ,20-99人,民营,12500.5,1-3年,50,本科,全职,True,False,False,True,True,False,False,False,True
19,客户经理,北京互动百科网络技术股份有限公司 ,500-999人,上市公司,9000.0,不限,3,不限,全职,True,False,False,True,False,True,False,False,False
20,客户经理,北京华博信国际咨询有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
21,市场经理,北京川盛天华投资咨询有限公司 ,500-999人,股份制企业,7000.5,不限,1,不限,全职,True,False,True,False,False,False,False,False,False
22,我爱我家直聘店经理,北京爱家营企业管理有限公司百子湾分公司 ,10000人以上,股份制企业,17500.5,1-3年,8,大专,全职,True,False,True,False,False,False,False,False,False
23,客户经理,北京开心易购商贸有限公司 ,20-99人,民营,7000.5,1-3年,3,不限,全职,False,False,False,True,False,False,False,True,False
24,客户经理（中小学方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
25,大客户经理（企事业单位方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
26,客户经理,北京月亮湖投资担保有限公司 ,20-99人,民营,6500.0,不限,10,不限,全职,False,False,False,False,False,False,True,False,False
27,客户代表+运营+市场+销售,北京动因体育科技有限公司 ,1000-9999人,民营,9000.5,1年以下,20,大专,全职,False,False,True,False,True,False,False,False,True
28,客户经理,北京日益盛投资管理有限公司工体北路营业部 ,10000人以上,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
29,高级客户经理,华夏云卫(北京)技术有限公司 ,20-99人,民营,15000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
30,客户经理,北京海科天地网络技术开发中心 ,1000-9999人,国企,7000.5,不限,1,大专,全职,False,False,True,True,True,False,False,False,False
31,高级客户/销售经理,闳约深美（北京）装饰设计有限公司 ,20-99人,民营,12500.5,1-3年,4,大专,全职,True,False,True,False,False,False,False,False,False
32,客户经理,北京外设天下电子商务有限公司 ,20-99人,民营,5000.5,不限,1,本科,全职,True,False,False,False,False,False,False,True,False
33,客户经理,北京极客邦科技有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,False,True,True,False,False
34,客户经理,北京市外商投资企业服务中心 ,100-499人,事业单位,5000.5,不限,2,不限,全职,False,False,False,False,False,False,False,False,False
35,客户经理,北京瑞瀚资产管理有限公司 ,20-99人,民营,6000.0,不限,3,大专,全职,True,False,True,True,False,True,True,False,False
36,教育行业大客户经理,宏碁电脑（上海）有限公司 acer computer (shanghai)Ltd. ,500-999人,外商独资,12500.5,3-5年,1,本科,全职,True,False,True,False,False,False,False,True,False
37,客户经理,北京容大友信科技有限公司 ,20-99人,民营,8000.0,不限,3,不限,全职,True,False,False,True,True,False,False,False,False
38,客户经理,北京聚优世纪网络科技有限公司 ,20-99人,民营,5000.0,不限,3,大专,全职,True,False,True,True,False,True,False,False,False
39,客户经理,深圳市中旭企业管理股份有限公司北京咨询分公司 ,20-99人,民营,6000.0,不限,10,不限,全职,True,False,True,True,True,False,False,False,False
40,私人高端理财顾问,北京源石创世财富资产管理有限公司 ,1000-9999人,上市公司,5000.5,1-3年,5,本科,全职,True,False,True,False,True,False,False,False,False
41,客户经理,北京易成时代科技有限公司 ,100-499人,股份制企业,17500.5,1-3年,20,大专,全职,True,False,False,False,False,False,True,True,False
42,客户经理（五险一金+双休）,高塔品牌顾问(北京)有限公司 ,100-499人,民营,7000.5,不限,1,不限,全职,True,False,False,False,False,True,True,False,False
43,广告客户经理（SSP）,道有道(北京)科技股份有限公司 ,100-499人,上市公司,11500.0,1-3年,2,本科,全职,True,False,False,False,True,True,True,False,False
44,客户经理,工汇(北京)科技有限公司 ,100-499人,民营,7000.5,不限,10,大专,全职,True,False,False,True,True,True,True,False,False
45,项目经理,北京华融达科技有限公司 ,20-99人,民营,10000.0,1-3年,5,大专,全职,False,False,False,False,False,False,False,False,False
46,客户经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,7000.5,1-3年,1,本科,全职,True,False,False,True,False,True,True,False,False
47,市场开发经理,上唐海外工程有限公司 ,100-499人,民营,8000.0,1-3年,3,大专,全职,True,False,True,False,False,True,False,True,False
48,1001客户经理,北京字节跳动科技有限公司 ,10000人以上,民营,9000.5,不限,5,大专,全职,False,False,False,False,True,True,False,False,False
49,工程咨询客户经理,北京国融兴华工程项目管理有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,True,True,True,True,False,False,False
50,客户经理,北京快知网络科技有限公司 ,100-499人,民营,12000.0,不限,8,大专,全职,True,False,True,True,False,False,False,False,False
51,诚聘电话销售+高提成双休,北京融信时代信息咨询服务有限公司 ,20-99人,保密,17500.5,1-3年,2,大专,全职,False,False,False,True,False,False,False,False,False
52,业务经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,12500.5,1-3年,3,本科,全职,True,False,False,False,False,False,True,False,False
53,云计算大客户经理,北京环宇数通科技有限公司 ,100-499人,民营,9000.0,1-3年,5,大专,全职,False,False,False,True,True,True,True,False,False
54,客户经理,北京力坚消防科技有限公司 ,20-99人,外商独资,7000.5,不限,1,大专,全职,True,False,False,True,True,True,True,False,False
55,客户经理,北京必浩得知识产权代理有限公司 ,20-99人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,True,True,False,False,False
56,接受18届实习生 销售储备干部,北京链家房地产经纪有限公司 ,10000人以上,民营,12500.5,不限,5,本科,全职,True,False,True,False,True,False,False,False,False
57,客户经理,北京盈骏科技有限公司 ,20-99人,民营,7500.0,不限,2,大专,全职,True,False,False,True,False,False,False,True,False
58,客户经理,北京众智连横企业管理咨询有限公司 ,100-499人,民营,15000.0,1-3年,5,大专,全职,True,False,True,True,False,False,False,False,False
59,销售经理,先锋音讯(北京)通讯技术有限公司 ,20-99人,股份制企业,12000.0,不限,1,不限,全职,False,False,False,False,False,False,True,False,False
60,销售总监经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,3-5年,3,本科,全职,True,False,True,True,True,False,False,False,False
61,招商经理,北京易贝乐科技文化股份有限公司 ,100-499人,合资,17500.5,不限,1,不限,全职,True,False,False,False,True,True,False,False,False
62,客户经理,平安普惠信息服务有限公司北京丰台北路分公司 ,10000人以上,上市公司,25000.5,不限,2,大专,全职,False,False,False,False,True,False,False,False,False
63,高级客户经理,北京恒远鑫达信息咨询有限公司第三分公司 ,1000-9999人,民营,7000.5,不限,10,不限,全职,True,False,False,True,False,False,False,False,False
64,客户经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,1-3年,1,大专,全职,True,False,True,True,True,False,False,False,False
65,商务经理,北京世玩互娱信息技术有限公司 ,20-99人,外商独资,12000.0,1-3年,10,本科,全职,True,False,False,True,False,True,False,False,False
66,客户经理,北京华信博达管理顾问有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
67,客户经理,北京瑞科润业信息科技有限公司 ,100-499人,民营,7000.5,3-5年,10,本科,全职,True,False,False,False,True,False,False,False,False
68,客户经理,北京民生智库科技信息咨询有限公司 ,20-99人,民营,7000.0,1-3年,3,大专,全职,True,False,True,False,False,False,False,False,False
69,客户经理,范德金智(北京)国际管理咨询有限公司 ,100-499人,股份制企业,10000.0,1-3年,2,大专,全职,True,False,False,True,False,False,False,False,False
70,客户经理,北京瑞动信息咨询中心(有限合伙) ,20-99人,合资,17500.5,3-5年,10,大专,全职,True,False,False,True,False,False,False,False,False
71,大客户经理,北京中嘉和信通信技术有限公司 ,20-99人,民营,9500.0,1-3年,5,大专,全职,True,False,False,True,False,True,False,False,False
72,客户经理,星光物语(北京)电子商务有限公司 ,100-499人,民营,7500.0,1-3年,1,大专,全职,True,False,False,False,True,True,True,False,False
73,中国人寿优才计划客户经理10-20万保底年薪,中国人寿保险股份有限公司北京市分公司朝阳金台北街营销服务部 ,10000人以上,上市公司,25000.5,不限,5,大专,全职,False,False,True,True,True,False,False,False,False
74,客户经理,北京千山茶仓信息科技有限公司 ,20-99人,民营,10000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
75,销售经理,心怡科技股份有限公司 ,10000人以上,民营,11500.0,不限,1,大专,全职,True,False,False,True,False,False,False,False,False
76,IDC网络资源客户经理,北京华夏雅库网络科技股份有限公司 ,20-99人,股份制企业,10000.0,不限,12,大专,全职,True,False,False,False,True,False,True,False,False
77,客户经理（AM）,北京中海智胜体育发展有限公司 ,20-99人,民营,9000.0,3-5年,4,大专,全职,True,False,True,False,True,True,False,True,False
78,销售经理,北京易咖科技有限公司 ,20-99人,民营,12500.5,1-3年,50,本科,全职,True,False,False,True,True,False,False,False,True
79,客户经理,北京互动百科网络技术股份有限公司 ,500-999人,上市公司,9000.0,不限,3,不限,全职,True,False,False,True,False,True,False,False,False
80,客户经理,北京华博信国际咨询有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
81,我爱我家直聘店经理,北京爱家营企业管理有限公司百子湾分公司 ,10000人以上,股份制企业,17500.5,1-3年,8,大专,全职,True,False,True,False,False,False,False,False,False
82,市场经理,北京川盛天华投资咨询有限公司 ,500-999人,股份制企业,7000.5,不限,1,不限,全职,True,False,True,False,False,False,False,False,False
83,客户经理（中小学方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
84,大客户经理（企事业单位方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
85,客户经理,北京月亮湖投资担保有限公司 ,20-99人,民营,6500.0,不限,10,不限,全职,False,False,False,False,False,False,True,False,False
86,客户经理,北京开心易购商贸有限公司 ,20-99人,民营,7000.5,1-3年,3,不限,全职,False,False,False,True,False,False,False,True,False
87,客户代表+运营+市场+销售,北京动因体育科技有限公司 ,1000-9999人,民营,9000.5,1年以下,20,大专,全职,False,False,True,False,True,False,False,False,True
88,客户经理,北京日益盛投资管理有限公司工体北路营业部 ,10000人以上,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
89,高级客户经理,华夏云卫(北京)技术有限公司 ,20-99人,民营,15000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
90,客户经理,北京海科天地网络技术开发中心 ,1000-9999人,国企,7000.5,不限,1,大专,全职,False,False,True,True,True,False,False,False,False
91,高级客户/销售经理,闳约深美（北京）装饰设计有限公司 ,20-99人,民营,12500.5,1-3年,4,大专,全职,True,False,True,False,False,False,False,False,False
92,客户经理,北京外设天下电子商务有限公司 ,20-99人,民营,5000.5,不限,1,本科,全职,True,False,False,False,False,False,False,True,False
93,客户经理,北京极客邦科技有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,False,True,True,False,False
94,客户经理,北京市外商投资企业服务中心 ,100-499人,事业单位,5000.5,不限,2,不限,全职,False,False,False,False,False,False,False,False,False
95,客户经理,北京瑞瀚资产管理有限公司 ,20-99人,民营,6000.0,不限,3,大专,全职,True,False,True,True,False,True,True,False,False
96,教育行业大客户经理,宏碁电脑（上海）有限公司 acer computer (shanghai)Ltd. ,500-999人,外商独资,12500.5,3-5年,1,本科,全职,True,False,True,False,False,False,False,True,False
97,客户经理,北京容大友信科技有限公司 ,20-99人,民营,8000.0,不限,3,不限,全职,True,False,False,True,True,False,False,False,False
98,客户经理,北京聚优世纪网络科技有限公司 ,20-99人,民营,5000.0,不限,3,大专,全职,True,False,True,True,False,True,False,False,False
99,客户经理,深圳市中旭企业管理股份有限公司北京咨询分公司 ,20-99人,民营,6000.0,不限,10,不限,全职,True,False,True,True,True,False,False,False,False
100,私人高端理财顾问,北京源石创世财富资产管理有限公司 ,1000-9999人,上市公司,5000.5,1-3年,5,本科,全职,True,False,True,False,True,False,False,False,False
101,客户经理（五险一金+双休）,高塔品牌顾问(北京)有限公司 ,100-499人,民营,7000.5,不限,1,不限,全职,True,False,False,False,False,True,True,False,False
102,广告客户经理（SSP）,道有道(北京)科技股份有限公司 ,100-499人,上市公司,11500.0,1-3年,2,本科,全职,True,False,False,False,True,True,True,False,False
103,客户经理,北京易成时代科技有限公司 ,100-499人,股份制企业,17500.5,1-3年,20,大专,全职,True,False,False,False,False,False,True,True,False
104,客户经理,工汇(北京)科技有限公司 ,100-499人,民营,7000.5,不限,10,大专,全职,True,False,False,True,True,True,True,False,False
105,项目经理,北京华融达科技有限公司 ,20-99人,民营,10000.0,1-3年,5,大专,全职,False,False,False,False,False,False,False,False,False
106,客户经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,7000.5,1-3年,1,本科,全职,True,False,False,True,False,True,True,False,False
107,1001客户经理,北京字节跳动科技有限公司 ,10000人以上,民营,9000.5,不限,5,大专,全职,False,False,False,False,True,True,False,False,False
108,市场开发经理,上唐海外工程有限公司 ,100-499人,民营,8000.0,1-3年,3,大专,全职,True,False,True,False,False,True,False,True,False
109,工程咨询客户经理,北京国融兴华工程项目管理有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,True,True,True,True,False,False,False
110,客户经理,北京快知网络科技有限公司 ,100-499人,民营,12000.0,不限,8,大专,全职,True,False,True,True,False,False,False,False,False
111,业务经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,12500.5,1-3年,3,本科,全职,True,False,False,False,False,False,True,False,False
112,诚聘电话销售+高提成双休,北京融信时代信息咨询服务有限公司 ,20-99人,保密,17500.5,1-3年,2,大专,全职,False,False,False,True,False,False,False,False,False
113,客户经理,北京力坚消防科技有限公司 ,20-99人,外商独资,7000.5,不限,1,大专,全职,True,False,False,True,True,True,True,False,False
114,客户经理,北京必浩得知识产权代理有限公司 ,20-99人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,True,True,False,False,False
115,接受18届实习生 销售储备干部,北京链家房地产经纪有限公司 ,10000人以上,民营,12500.5,不限,5,本科,全职,True,False,True,False,True,False,False,False,False
116,云计算大客户经理,北京环宇数通科技有限公司 ,100-499人,民营,9000.0,1-3年,5,大专,全职,False,False,False,True,True,True,True,False,False
117,客户经理,北京众智连横企业管理咨询有限公司 ,100-499人,民营,15000.0,1-3年,5,大专,全职,True,False,True,True,False,False,False,False,False
118,销售经理,先锋音讯(北京)通讯技术有限公司 ,20-99人,股份制企业,12000.0,不限,1,不限,全职,False,False,False,False,False,False,True,False,False
119,商务经理,北京云广传媒有限公司 ,1000-9999人,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
120,销售总监经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,3-5年,3,本科,全职,True,False,True,True,True,False,False,False,False
121,招商经理,北京易贝乐科技文化股份有限公司 ,100-499人,合资,17500.5,不限,1,不限,全职,True,False,False,False,True,True,False,False,False
122,客户经理,平安普惠信息服务有限公司北京丰台北路分公司 ,10000人以上,上市公司,25000.5,不限,2,大专,全职,False,False,False,False,True,False,False,False,False
123,高级客户经理,北京恒远鑫达信息咨询有限公司第三分公司 ,1000-9999人,民营,7000.5,不限,10,不限,全职,True,False,False,True,False,False,False,False,False
124,客户经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,1-3年,1,大专,全职,True,False,True,True,True,False,False,False,False
125,商务经理,北京世玩互娱信息技术有限公司 ,20-99人,外商独资,12000.0,1-3年,10,本科,全职,True,False,False,True,False,True,False,False,False
126,客户经理,北京华信博达管理顾问有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
127,客户经理,北京瑞科润业信息科技有限公司 ,100-499人,民营,7000.5,3-5年,10,本科,全职,True,False,False,False,True,False,False,False,False
128,客户经理,北京民生智库科技信息咨询有限公司 ,20-99人,民营,7000.0,1-3年,3,大专,全职,True,False,True,False,False,False,False,False,False
129,客户经理,范德金智(北京)国际管理咨询有限公司 ,100-499人,股份制企业,10000.0,1-3年,2,大专,全职,True,False,False,True,False,False,False,False,False
130,客户经理,北京瑞动信息咨询中心(有限合伙) ,20-99人,合资,17500.5,3-5年,10,大专,全职,True,False,False,True,False,False,False,False,False
131,大客户经理,北京中嘉和信通信技术有限公司 ,20-99人,民营,9500.0,1-3年,5,大专,全职,True,False,False,True,False,True,False,False,False
132,客户经理,星光物语(北京)电子商务有限公司 ,100-499人,民营,7500.0,1-3年,1,大专,全职,True,False,False,False,True,True,True,False,False
133,中国人寿优才计划客户经理10-20万保底年薪,中国人寿保险股份有限公司北京市分公司朝阳金台北街营销服务部 ,10000人以上,上市公司,25000.5,不限,5,大专,全职,False,False,True,True,True,False,False,False,False
134,客户经理,北京千山茶仓信息科技有限公司 ,20-99人,民营,10000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
135,销售经理,心怡科技股份有限公司 ,10000人以上,民营,11500.0,不限,1,大专,全职,True,False,False,True,False,False,False,False,False
136,客户经理（AM）,北京中海智胜体育发展有限公司 ,20-99人,民营,9000.0,3-5年,4,大专,全职,True,False,True,False,True,True,False,True,False
137,IDC网络资源客户经理,北京华夏雅库网络科技股份有限公司 ,20-99人,股份制企业,10000.0,不限,12,大专,全职,True,False,False,False,True,False,True,False,False
138,销售经理,北京易咖科技有限公司 ,20-99人,民营,12500.5,1-3年,50,本科,全职,True,False,False,True,True,False,False,False,True
139,客户经理,北京互动百科网络技术股份有限公司 ,500-999人,上市公司,9000.0,不限,3,不限,全职,True,False,False,True,False,True,False,False,False
140,客户经理,北京华博信国际咨询有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
141,我爱我家直聘店经理,北京爱家营企业管理有限公司百子湾分公司 ,10000人以上,股份制企业,17500.5,1-3年,8,大专,全职,True,False,True,False,False,False,False,False,False
142,市场经理,北京川盛天华投资咨询有限公司 ,500-999人,股份制企业,7000.5,不限,1,不限,全职,True,False,True,False,False,False,False,False,False
143,客户经理（中小学方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
144,大客户经理（企事业单位方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
145,客户经理,北京月亮湖投资担保有限公司 ,20-99人,民营,6500.0,不限,10,不限,全职,False,False,False,False,False,False,True,False,False
146,客户经理,北京开心易购商贸有限公司 ,20-99人,民营,7000.5,1-3年,3,不限,全职,False,False,False,True,False,False,False,True,False
147,客户代表+运营+市场+销售,北京动因体育科技有限公司 ,1000-9999人,民营,9000.5,1年以下,20,大专,全职,False,False,True,False,True,False,False,False,True
148,客户经理,北京日益盛投资管理有限公司工体北路营业部 ,10000人以上,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
149,高级客户经理,华夏云卫(北京)技术有限公司 ,20-99人,民营,15000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
150,高级客户/销售经理,闳约深美（北京）装饰设计有限公司 ,20-99人,民营,12500.5,1-3年,4,大专,全职,True,False,True,False,False,False,False,False,False
151,客户经理,北京海科天地网络技术开发中心 ,1000-9999人,国企,7000.5,不限,1,大专,全职,False,False,True,True,True,False,False,False,False
152,客户经理,北京外设天下电子商务有限公司 ,20-99人,民营,5000.5,不限,1,本科,全职,True,False,False,False,False,False,False,True,False
153,客户经理,北京极客邦科技有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,False,True,True,False,False
154,客户经理,北京市外商投资企业服务中心 ,100-499人,事业单位,5000.5,不限,2,不限,全职,False,False,False,False,False,False,False,False,False
155,客户经理,北京瑞瀚资产管理有限公司 ,20-99人,民营,6000.0,不限,3,大专,全职,True,False,True,True,False,True,True,False,False
156,教育行业大客户经理,宏碁电脑（上海）有限公司 acer computer (shanghai)Ltd. ,500-999人,外商独资,12500.5,3-5年,1,本科,全职,True,False,True,False,False,False,False,True,False
157,客户经理,北京容大友信科技有限公司 ,20-99人,民营,8000.0,不限,3,不限,全职,True,False,False,True,True,False,False,False,False
158,客户经理,北京聚优世纪网络科技有限公司 ,20-99人,民营,5000.0,不限,3,大专,全职,True,False,True,True,False,True,False,False,False
159,客户经理,深圳市中旭企业管理股份有限公司北京咨询分公司 ,20-99人,民营,6000.0,不限,10,不限,全职,True,False,True,True,True,False,False,False,False
160,私人高端理财顾问,北京源石创世财富资产管理有限公司 ,1000-9999人,上市公司,5000.5,1-3年,5,本科,全职,True,False,True,False,True,False,False,False,False
161,客户经理（五险一金+双休）,高塔品牌顾问(北京)有限公司 ,100-499人,民营,7000.5,不限,1,不限,全职,True,False,False,False,False,True,True,False,False
162,广告客户经理（SSP）,道有道(北京)科技股份有限公司 ,100-499人,上市公司,11500.0,1-3年,2,本科,全职,True,False,False,False,True,True,True,False,False
163,客户经理,北京易成时代科技有限公司 ,100-499人,股份制企业,17500.5,1-3年,20,大专,全职,True,False,False,False,False,False,True,True,False
164,客户经理,工汇(北京)科技有限公司 ,100-499人,民营,7000.5,不限,10,大专,全职,True,False,False,True,True,True,True,False,False
165,项目经理,北京华融达科技有限公司 ,20-99人,民营,10000.0,1-3年,5,大专,全职,False,False,False,False,False,False,False,False,False
166,市场开发经理,上唐海外工程有限公司 ,100-499人,民营,8000.0,1-3年,3,大专,全职,True,False,True,False,False,True,False,True,False
167,工程咨询客户经理,北京国融兴华工程项目管理有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,True,True,True,True,False,False,False
168,客户经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,7000.5,1-3年,1,本科,全职,True,False,False,True,False,True,True,False,False
169,业务经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,12500.5,1-3年,3,本科,全职,True,False,False,False,False,False,True,False,False
170,1001客户经理,北京字节跳动科技有限公司 ,10000人以上,民营,9000.5,不限,5,大专,全职,False,False,False,False,True,True,False,False,False
171,客户经理,北京力坚消防科技有限公司 ,20-99人,外商独资,7000.5,不限,1,大专,全职,True,False,False,True,True,True,True,False,False
172,客户经理,北京必浩得知识产权代理有限公司 ,20-99人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,True,True,False,False,False
173,接受18届实习生 销售储备干部,北京链家房地产经纪有限公司 ,10000人以上,民营,12500.5,不限,5,本科,全职,True,False,True,False,True,False,False,False,False
174,诚聘电话销售+高提成双休,北京融信时代信息咨询服务有限公司 ,20-99人,保密,17500.5,1-3年,2,大专,全职,False,False,False,True,False,False,False,False,False
175,云计算大客户经理,北京环宇数通科技有限公司 ,100-499人,民营,9000.0,1-3年,5,大专,全职,False,False,False,True,True,True,True,False,False
176,客户经理,北京快知网络科技有限公司 ,100-499人,民营,12000.0,不限,8,大专,全职,True,False,True,True,False,False,False,False,False
177,客户经理,北京众智连横企业管理咨询有限公司 ,100-499人,民营,15000.0,1-3年,5,大专,全职,True,False,True,True,False,False,False,False,False
178,销售经理,先锋音讯(北京)通讯技术有限公司 ,20-99人,股份制企业,12000.0,不限,1,不限,全职,False,False,False,False,False,False,True,False,False
179,商务经理,北京云广传媒有限公司 ,1000-9999人,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
180,销售总监经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,3-5年,3,本科,全职,True,False,True,True,True,False,False,False,False
181,招商经理,北京易贝乐科技文化股份有限公司 ,100-499人,合资,17500.5,不限,1,不限,全职,True,False,False,False,True,True,False,False,False
182,客户经理,平安普惠信息服务有限公司北京丰台北路分公司 ,10000人以上,上市公司,25000.5,不限,2,大专,全职,False,False,False,False,True,False,False,False,False
183,高级客户经理,北京恒远鑫达信息咨询有限公司第三分公司 ,1000-9999人,民营,7000.5,不限,10,不限,全职,True,False,False,True,False,False,False,False,False
184,客户经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,1-3年,1,大专,全职,True,False,True,True,True,False,False,False,False
185,商务经理,北京世玩互娱信息技术有限公司 ,20-99人,外商独资,12000.0,1-3年,10,本科,全职,True,False,False,True,False,True,False,False,False
186,客户经理,北京华信博达管理顾问有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
187,客户经理,北京瑞科润业信息科技有限公司 ,100-499人,民营,7000.5,3-5年,10,本科,全职,True,False,False,False,True,False,False,False,False
188,客户经理,北京民生智库科技信息咨询有限公司 ,20-99人,民营,7000.0,1-3年,3,大专,全职,True,False,True,False,False,False,False,False,False
189,客户经理,范德金智(北京)国际管理咨询有限公司 ,100-499人,股份制企业,10000.0,1-3年,2,大专,全职,True,False,False,True,False,False,False,False,False
